epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1791.66,0.85524,0.84267,1.01466,0.83569,0.5,0.64247,0.41591,1.28129,1.38529,1.18582,0.0003466,0.0003466,0.0003466
68,1817.2,0.86466,0.8401,1.04681,0.83749,0.5,0.63783,0.41377,1.2773,1.37798,1.18131,0.0003367,0.0003367,0.0003367
69,1842.78,0.84293,0.81318,1.01795,0.66657,0.59349,0.63657,0.41154,1.28436,1.38004,1.18333,0.0003268,0.0003268,0.0003268
70,1869.56,0.87409,0.81977,1.01046,0.87384,0.48438,0.63744,0.41669,1.27687,1.37923,1.17769,0.0003169,0.0003169,0.0003169
71,1897.22,0.84818,0.8425,1.02473,0.67503,0.59375,0.63816,0.41058,1.2798,1.38706,1.18226,0.000307,0.000307,0.000307
72,1922.69,0.84883,0.85027,1.00806,0.82767,0.48438,0.6375,0.41312,1.28795,1.39745,1.18281,0.0002971,0.0002971,0.0002971
73,1947.55,0.86897,0.84744,0.99739,0.67028,0.59375,0.63232,0.41151,1.29193,1.39258,1.19036,0.0002872,0.0002872,0.0002872
74,1972.57,0.90978,0.84049,1.03546,0.67537,0.59375,0.63903,0.41156,1.30266,1.39655,1.19972,0.0002773,0.0002773,0.0002773
75,1998.16,0.85621,0.82703,1.00751,0.68422,0.59375,0.63664,0.40944,1.28015,1.38943,1.18531,0.0002674,0.0002674,0.0002674
76,2023.23,0.84799,0.79837,1.00835,0.77174,0.52833,0.63481,0.40953,1.28276,1.38678,1.18914,0.0002575,0.0002575,0.0002575
77,2048.03,0.83621,0.83076,1.00072,0.79919,0.53125,0.63924,0.40857,1.28975,1.37828,1.19568,0.0002476,0.0002476,0.0002476
78,2073.47,0.90226,0.86852,1.03183,0.74112,0.54688,0.64333,0.41448,1.29092,1.37793,1.1978,0.0002377,0.0002377,0.0002377
79,2098.31,0.85426,0.84951,1.02944,0.77819,0.53125,0.64243,0.41413,1.29058,1.37482,1.19526,0.0002278,0.0002278,0.0002278
80,2123.57,0.83677,0.83244,0.99553,0.79988,0.54688,0.64376,0.41452,1.30511,1.37524,1.20258,0.0002179,0.0002179,0.0002179
